TimeStep,Probe1_Ez,Probe2_Ez
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,-1.60381e-28,0
50,1.60381e-28,0
51,-1.60381e-28,0
52,1.60381e-28,0
53,-1.60381e-28,0
54,1.60381e-28,0
55,-1.60381e-28,0
56,1.60381e-28,0
57,-1.60381e-28,0
58,1.60383e-28,0
59,-1.6039e-28,0
60,1.60608e-28,0
61,-1.57994e-28,0
62,1.85875e-28,0
63,2.24208e-44,0
64,2.24208e-44,0
65,-1.90336e-26,0
66,0,0
67,0,0
68,0,0
69,-1.94904e-23,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,-1.63498e-16,0
89,0,0
90,-3.26995e-16,0
91,1.63498e-16,0
92,-2.45247e-16,0
93,8.17488e-17,0
94,-2.04372e-16,0
95,4.08744e-17,0
96,-1.83935e-16,0
97,5.1093e-17,0
98,-1.73716e-16,0
99,4.08744e-17,0
100,-1.71162e-16,0
101,3.95971e-17,0
102,-1.71002e-16,0
103,3.92778e-17,0
104,-1.70762e-16,0
105,3.93027e-17,0
106,-1.70775e-16,0
107,3.93058e-17,0
108,-1.70783e-16,0
109,3.9306e-17,0
110,-1.70782e-16,0
111,3.9306e-17,0
112,-1.70782e-16,0
113,3.9306e-17,0
114,-1.70782e-16,0
115,3.9306e-17,0
116,-1.70782e-16,0
117,3.9306e-17,0
118,-1.70782e-16,0
119,3.9306e-17,0
120,-1.70782e-16,0
121,3.9306e-17,0
122,-1.70782e-16,0
123,3.9306e-17,0
124,-1.70782e-16,0
125,3.9306e-17,0
126,-1.70782e-16,0
127,3.9306e-17,0
128,-1.70782e-16,0
129,3.9306e-17,0
130,-1.70782e-16,0
131,3.9306e-17,0
132,-1.70782e-16,0
133,3.9306e-17,0
134,-1.70782e-16,0
135,3.9306e-17,0
136,-1.70782e-16,0
137,3.9306e-17,0
138,-1.70782e-16,0
139,3.9306e-17,0
140,-1.70782e-16,0
141,3.9306e-17,0
142,-1.70782e-16,0
143,3.9306e-17,0
144,-1.70782e-16,0
145,3.9306e-17,0
146,-1.70782e-16,0
147,3.9306e-17,0
148,-1.70782e-16,0
149,3.9306e-17,0
150,-1.70782e-16,0
151,3.9306e-17,0
152,-1.70782e-16,0
153,3.9306e-17,0
154,-1.70782e-16,0
155,3.9306e-17,0
156,-1.70782e-16,0
157,3.9306e-17,0
158,-1.70782e-16,0
159,3.9306e-17,0
160,-1.70782e-16,0
161,3.9306e-17,0
162,-1.70782e-16,0
163,3.9306e-17,0
164,-1.70782e-16,0
165,3.9306e-17,0
166,-1.70782e-16,0
167,3.9306e-17,0
168,-1.70782e-16,0
169,3.9306e-17,0
170,-1.70782e-16,0
171,3.9306e-17,0
172,-1.70782e-16,0
173,3.9306e-17,0
174,-1.70782e-16,0
175,3.9306e-17,0
176,-1.70782e-16,0
177,3.9306e-17,0
178,-1.70782e-16,0
179,3.9306e-17,0
180,-1.70782e-16,0
181,3.9306e-17,0
182,-1.70782e-16,0
183,3.9306e-17,0
184,-1.70782e-16,0
185,3.9306e-17,0
186,-1.70782e-16,0
187,3.9306e-17,0
188,-1.70782e-16,0
189,3.9306e-17,0
190,-1.70782e-16,0
191,3.9306e-17,0
192,-1.70782e-16,0
193,3.9306e-17,0
194,-1.70782e-16,0
195,3.93059e-17,0
196,-1.70782e-16,0
197,3.93057e-17,0
198,-1.70782e-16,0
199,3.93053e-17,0
200,-1.70781e-16,0
201,3.93046e-17,0
202,-1.70781e-16,0
203,3.93036e-17,0
204,-1.70779e-16,0
205,3.93021e-17,0
206,-1.70778e-16,0
207,3.93e-17,0
208,-1.70775e-16,0
209,3.92973e-17,0
210,-1.70772e-16,0
211,3.92937e-17,0
212,-1.70768e-16,0
213,3.92891e-17,0
214,-1.70763e-16,0
215,3.92835e-17,0
216,-1.70757e-16,0
217,3.92765e-17,0
218,-1.70749e-16,0
219,3.9268e-17,0
220,-1.7074e-16,0
221,3.92578e-17,0
222,-1.70728e-16,0
223,3.92458e-17,0
224,-1.70715e-16,0
225,3.92318e-17,0
226,-1.707e-16,0
227,3.92154e-17,0
228,-1.70683e-16,0
229,3.91965e-17,0
230,-1.70662e-16,0
231,3.91748e-17,0
232,-1.70639e-16,0
233,3.91501e-17,0
234,-1.70613e-16,0
235,3.91222e-17,0
236,-1.70583e-16,0
237,3.90906e-17,0
238,-1.7055e-16,0
239,3.90553e-17,0
240,-1.70512e-16,0
241,3.90158e-17,0
242,-1.70471e-16,0
243,3.8972e-17,0
244,-1.70425e-16,0
245,3.89234e-17,0
246,-1.70374e-16,0
247,3.88697e-17,0
248,-1.70317e-16,0
249,3.88107e-17,0
250,-1.70256e-16,0
251,3.8746e-17,0
252,-1.70188e-16,0
253,3.86753e-17,0
254,-1.70114e-16,0
255,3.85982e-17,0
256,-1.70034e-16,0
257,3.85143e-17,0
258,-1.69946e-16,0
259,-4.04119e-17,0
260,-1.97613e-15,0
261,-1.69367e-14,0
262,-1.53217e-13,0
263,-1.26972e-12,0
264,-9.70908e-12,0
265,-6.84915e-11,0
266,-4.45741e-10,0
267,-2.67601e-09,0
268,-1.48189e-08,0
269,-7.56888e-08,0
270,-3.56526e-07,0
271,-1.54862e-06,0
272,-6.20206e-06,0
273,-2.28983e-05,0
274,-7.79239e-05,0
275,-0.000244375,0
276,-0.000706098,0
277,-0.00187925,0
278,-0.0046056,0
279,-0.0103903,0
280,-0.0215692,0
281,-0.0411832,0
282,-0.0722877,0
283,-0.116579,0
284,-0.172631,0
285,-0.234563,0
286,-0.292238,0
287,-0.333618,0
288,-0.348768,0
289,-0.333753,0
290,-0.292348,0
291,-0.234521,0
292,-0.17249,0
293,-0.116505,0
294,-0.0723599,0
295,-0.0413117,0
296,-0.0216066,0
297,-0.0103006,0
298,-0.00449267,0
299,-0.00185479,0
300,-0.000756788,0
301,-0.000233774,0
302,0.00014869,0
303,0.000534212,0
304,0.00104129,0
305,0.00192832,0
306,0.0036065,0
307,0.00656966,0
308,0.0113456,0
309,0.0184926,0
310,0.0285618,0
311,0.0419308,0
312,0.0585038,0
313,0.0773964,0
314,0.0967735,0
315,0.113969,0
